phenomenonTime,Q_m³/s
2010-01-01T00:00:00Z,126
2010-01-02T00:00:00Z,110
2010-01-03T00:00:00Z,102
2010-01-04T00:00:00Z,95.2
2010-01-05T00:00:00Z,88
2010-01-06T00:00:00Z,76.3
2010-01-07T00:00:00Z,69.1
2010-01-08T00:00:00Z,60.1
2010-01-09T00:00:00Z,55
2010-01-10T00:00:00Z,51.6
2010-01-11T00:00:00Z,49.1
2010-01-12T00:00:00Z,45.7
2010-01-13T00:00:00Z,42.4
2010-01-14T00:00:00Z,40
2010-01-15T00:00:00Z,38.4
2010-01-16T00:00:00Z,36
2010-01-17T00:00:00Z,35.2
2010-01-18T00:00:00Z,40
2010-01-19T00:00:00Z,46.5
2010-01-20T00:00:00Z,52.5
2010-01-21T00:00:00Z,49.9
2010-01-22T00:00:00Z,44
2010-01-23T00:00:00Z,39.2
2010-01-24T00:00:00Z,36
2010-01-25T00:00:00Z,33.6
2010-01-26T00:00:00Z,32.8
2010-01-27T00:00:00Z,28.8
2010-01-28T00:00:00Z,29.6
2010-01-29T00:00:00Z,32
2010-01-30T00:00:00Z,32
2010-01-31T00:00:00Z,29.6
2010-02-01T00:00:00Z,28.8
2010-02-02T00:00:00Z,28
2010-02-03T00:00:00Z,28.8
2010-02-04T00:00:00Z,28.8
2010-02-05T00:00:00Z,28
2010-02-06T00:00:00Z,27.3
2010-02-07T00:00:00Z,25.9
2010-02-08T00:00:00Z,24.5
2010-02-09T00:00:00Z,23.8
2010-02-10T00:00:00Z,23.1
2010-02-11T00:00:00Z,23.8
2010-02-12T00:00:00Z,23.1
2010-02-13T00:00:00Z,23.1
2010-02-14T00:00:00Z,22.4
2010-02-15T00:00:00Z,21.8
2010-02-16T00:00:00Z,21.8
2010-02-17T00:00:00Z,21.2
2010-02-18T00:00:00Z,21.8
2010-02-19T00:00:00Z,22.4
2010-02-20T00:00:00Z,23.1
2010-02-21T00:00:00Z,23.8
2010-02-22T00:00:00Z,23.1
2010-02-23T00:00:00Z,39.2
2010-02-24T00:00:00Z,128
2010-02-25T00:00:00Z,158
2010-02-26T00:00:00Z,169
2010-02-27T00:00:00Z,173
2010-02-28T00:00:00Z,155
2010-03-01T00:00:00Z,164
2010-03-02T00:00:00Z,162
2010-03-03T00:00:00Z,153
2010-03-04T00:00:00Z,134
2010-03-05T00:00:00Z,116
2010-03-06T00:00:00Z,101
2010-03-07T00:00:00Z,88.9
2010-03-08T00:00:00Z,79
2010-03-09T00:00:00Z,70
2010-03-10T00:00:00Z,63.7
2010-03-11T00:00:00Z,58.4
2010-03-12T00:00:00Z,55
2010-03-13T00:00:00Z,52.5
2010-03-14T00:00:00Z,50.8
2010-03-15T00:00:00Z,51.6
2010-03-16T00:00:00Z,55.9
2010-03-17T00:00:00Z,61
2010-03-18T00:00:00Z,57.6
2010-03-19T00:00:00Z,55
2010-03-20T00:00:00Z,56.7
2010-03-21T00:00:00Z,70.9
2010-03-22T00:00:00Z,93.4
2010-03-23T00:00:00Z,92.5
2010-03-24T00:00:00Z,92.5
2010-03-25T00:00:00Z,91.6
2010-03-26T00:00:00Z,88
2010-03-27T00:00:00Z,86.2
2010-03-28T00:00:00Z,82.6
2010-03-29T00:00:00Z,82.6
2010-03-30T00:00:00Z,85.3
2010-03-31T00:00:00Z,87.1
2010-04-01T00:00:00Z,84.4
2010-04-02T00:00:00Z,78.1
