phenomenonTime,Q_m³/s
2010-01-01T00:00:00Z,89.4
2010-01-02T00:00:00Z,80.8
2010-01-03T00:00:00Z,78.1
2010-01-04T00:00:00Z,73.6
2010-01-05T00:00:00Z,66.9
2010-01-06T00:00:00Z,59.2
2010-01-07T00:00:00Z,54.3
2010-01-08T00:00:00Z,48
2010-01-09T00:00:00Z,43.9
2010-01-10T00:00:00Z,41.6
2010-01-11T00:00:00Z,39
2010-01-12T00:00:00Z,36.6
2010-01-13T00:00:00Z,34.2
2010-01-14T00:00:00Z,32.2
2010-01-15T00:00:00Z,30.6
2010-01-16T00:00:00Z,29
2010-01-17T00:00:00Z,28.6
2010-01-18T00:00:00Z,32.6
2010-01-19T00:00:00Z,35
2010-01-20T00:00:00Z,36.2
2010-01-21T00:00:00Z,33.8
2010-01-22T00:00:00Z,30.2
2010-01-23T00:00:00Z,28.2
2010-01-24T00:00:00Z,26.2
2010-01-25T00:00:00Z,25
2010-01-26T00:00:00Z,23.8
2010-01-27T00:00:00Z,20.2
2010-01-28T00:00:00Z,23
2010-01-29T00:00:00Z,23.8
2010-01-30T00:00:00Z,23.8
2010-01-31T00:00:00Z,21.8
2010-02-01T00:00:00Z,21.4
2010-02-02T00:00:00Z,20.2
2010-02-03T00:00:00Z,21.4
2010-02-04T00:00:00Z,20.6
2010-02-05T00:00:00Z,21
2010-02-06T00:00:00Z,19.8
2010-02-07T00:00:00Z,18.8
2010-02-08T00:00:00Z,18.4
2010-02-09T00:00:00Z,16.8
2010-02-10T00:00:00Z,16.8
2010-02-11T00:00:00Z,16.8
2010-02-12T00:00:00Z,16.4
2010-02-13T00:00:00Z,16.4
2010-02-14T00:00:00Z,15.5
2010-02-15T00:00:00Z,15.5
2010-02-16T00:00:00Z,15.5
2010-02-17T00:00:00Z,14.9
2010-02-18T00:00:00Z,15.8
2010-02-19T00:00:00Z,15.8
2010-02-20T00:00:00Z,17.6
2010-02-21T00:00:00Z,17.6
2010-02-22T00:00:00Z,16.8
2010-02-23T00:00:00Z,35.8
2010-02-24T00:00:00Z,92.5
2010-02-25T00:00:00Z,104
2010-02-26T00:00:00Z,105
2010-02-27T00:00:00Z,109
2010-02-28T00:00:00Z,104
2010-03-01T00:00:00Z,124
2010-03-02T00:00:00Z,124
2010-03-03T00:00:00Z,115
2010-03-04T00:00:00Z,99.5
2010-03-05T00:00:00Z,87.1
2010-03-06T00:00:00Z,77.7
2010-03-07T00:00:00Z,68.7
2010-03-08T00:00:00Z,61
2010-03-09T00:00:00Z,54.7
2010-03-10T00:00:00Z,49.3
2010-03-11T00:00:00Z,45.7
2010-03-12T00:00:00Z,43
2010-03-13T00:00:00Z,40.8
2010-03-14T00:00:00Z,39.4
2010-03-15T00:00:00Z,40.3
2010-03-16T00:00:00Z,45.3
2010-03-17T00:00:00Z,48.9
2010-03-18T00:00:00Z,45.3
2010-03-19T00:00:00Z,43.5
2010-03-20T00:00:00Z,46.2
2010-03-21T00:00:00Z,57.9
2010-03-22T00:00:00Z,70.9
2010-03-23T00:00:00Z,71.8
2010-03-24T00:00:00Z,73.2
2010-03-25T00:00:00Z,73.2
2010-03-26T00:00:00Z,70
2010-03-27T00:00:00Z,69.6
2010-03-28T00:00:00Z,66.9
2010-03-29T00:00:00Z,65.5
2010-03-30T00:00:00Z,69.1
2010-03-31T00:00:00Z,69.1
2010-04-01T00:00:00Z,67.3
2010-04-02T00:00:00Z,61.9
2010-04-03T00:00:00Z,55.6
2010-04-04T00:00:00Z,52.5
2010-04-05T00:00:00Z,48
2010-04-06T00:00:00Z,43.5
2010-04-07T00:00:00Z,39.9
2010-04-08T00:00:00Z,37
2010-04-09T00:00:00Z,34.6
2010-04-10T00:00:00Z,33
2010-04-11T00:00:00Z,32.2
2010-04-12T00:00:00Z,32.2
2010-04-13T00:00:00Z,32.6
2010-04-14T00:00:00Z,31
2010-04-15T00:00:00Z,30.2
2010-04-16T00:00:00Z,29.4
2010-04-17T00:00:00Z,27.8
2010-04-18T00:00:00Z,26.6
2010-04-19T00:00:00Z,25.4
2010-04-20T00:00:00Z,25
2010-04-21T00:00:00Z,24.2
2010-04-22T00:00:00Z,23.4
2010-04-23T00:00:00Z,22.6
2010-04-24T00:00:00Z,21.4
2010-04-25T00:00:00Z,20.6
2010-04-26T00:00:00Z,20.6
2010-04-27T00:00:00Z,20.2
2010-04-28T00:00:00Z,19.8
2010-04-29T00:00:00Z,19.5
2010-04-30T00:00:00Z,18.8
2010-05-01T00:00:00Z,19.2
2010-05-02T00:00:00Z,19.5
2010-05-03T00:00:00Z,20.6
2010-05-04T00:00:00Z,19.5
2010-05-05T00:00:00Z,18.4
2010-05-06T00:00:00Z,20.2
2010-05-07T00:00:00Z,21.8
2010-05-08T00:00:00Z,21
2010-05-09T00:00:00Z,18.8
2010-05-10T00:00:00Z,19.5
2010-05-11T00:00:00Z,19.2
