phenomenonTime,Q_m³/s
2010-01-01T00:00:00Z,5.63
2010-01-02T00:00:00Z,5.63
2010-01-03T00:00:00Z,5.06
2010-01-04T00:00:00Z,4.33
2010-01-05T00:00:00Z,3.82
2010-01-06T00:00:00Z,3.49
2010-01-07T00:00:00Z,3.17
2010-01-08T00:00:00Z,2.85
2010-01-09T00:00:00Z,2.58
2010-01-10T00:00:00Z,2.45
2010-01-11T00:00:00Z,2.06
2010-01-12T00:00:00Z,1.94
2010-01-13T00:00:00Z,1.82
2010-01-14T00:00:00Z,1.94
2010-01-15T00:00:00Z,1.82
2010-01-16T00:00:00Z,1.7
2010-01-17T00:00:00Z,1.7
2010-01-18T00:00:00Z,1.7
2010-01-19T00:00:00Z,1.7
2010-01-20T00:00:00Z,1.58
2010-01-21T00:00:00Z,1.48
2010-01-22T00:00:00Z,1.48
2010-01-23T00:00:00Z,1.39
2010-01-24T00:00:00Z,1.39
2010-01-25T00:00:00Z,1.39
2010-01-26T00:00:00Z,1.3
2010-01-27T00:00:00Z,1.12
2010-01-28T00:00:00Z,1.3
2010-01-29T00:00:00Z,1.3
2010-01-30T00:00:00Z,1.3
2010-01-31T00:00:00Z,1.21
2010-02-01T00:00:00Z,1.12
2010-02-02T00:00:00Z,1.12
2010-02-03T00:00:00Z,1.12
2010-02-04T00:00:00Z,1.12
2010-02-05T00:00:00Z,1.04
2010-02-06T00:00:00Z,0.96
2010-02-07T00:00:00Z,0.96
2010-02-08T00:00:00Z,0.88
2010-02-09T00:00:00Z,0.88
2010-02-10T00:00:00Z,0.96
2010-02-11T00:00:00Z,0.88
2010-02-12T00:00:00Z,0.88
2010-02-13T00:00:00Z,0.88
2010-02-14T00:00:00Z,0.88
2010-02-15T00:00:00Z,0.88
2010-02-16T00:00:00Z,0.8
2010-02-17T00:00:00Z,0.8
2010-02-18T00:00:00Z,0.96
2010-02-19T00:00:00Z,0.96
2010-02-20T00:00:00Z,0.96
2010-02-21T00:00:00Z,0.96
2010-02-22T00:00:00Z,0.96
2010-02-23T00:00:00Z,1.48
2010-02-24T00:00:00Z,3.01
2010-02-25T00:00:00Z,3.17
2010-02-26T00:00:00Z,5.44
2010-02-27T00:00:00Z,7.2
2010-02-28T00:00:00Z,7.4
2010-03-01T00:00:00Z,8.4
2010-03-02T00:00:00Z,7.4
2010-03-03T00:00:00Z,6.2
2010-03-04T00:00:00Z,5.25
2010-03-05T00:00:00Z,4.5
2010-03-06T00:00:00Z,4.16
2010-03-07T00:00:00Z,3.65
2010-03-08T00:00:00Z,3.17
2010-03-09T00:00:00Z,2.85
2010-03-10T00:00:00Z,2.71
2010-03-11T00:00:00Z,2.45
2010-03-12T00:00:00Z,2.45
2010-03-13T00:00:00Z,2.19
2010-03-14T00:00:00Z,2.32
2010-03-15T00:00:00Z,2.32
2010-03-16T00:00:00Z,2.71
2010-03-17T00:00:00Z,2.58
2010-03-18T00:00:00Z,2.71
2010-03-19T00:00:00Z,3.01
2010-03-20T00:00:00Z,4.5
2010-03-21T00:00:00Z,9.6
2010-03-22T00:00:00Z,12
2010-03-23T00:00:00Z,10.2
2010-03-24T00:00:00Z,9
2010-03-25T00:00:00Z,8.4
2010-03-26T00:00:00Z,8.6
2010-03-27T00:00:00Z,9.2
2010-03-28T00:00:00Z,8.2
2010-03-29T00:00:00Z,8.2
2010-03-30T00:00:00Z,7.8
2010-03-31T00:00:00Z,7.8
2010-04-01T00:00:00Z,6.6
2010-04-02T00:00:00Z,5.63
2010-04-03T00:00:00Z,4.87
2010-04-04T00:00:00Z,4.33
2010-04-05T00:00:00Z,3.82
2010-04-06T00:00:00Z,3.33
2010-04-07T00:00:00Z,3.01
2010-04-08T00:00:00Z,2.71
2010-04-09T00:00:00Z,2.45
2010-04-10T00:00:00Z,2.32
2010-04-11T00:00:00Z,2.45
2010-04-12T00:00:00Z,2.45
2010-04-13T00:00:00Z,2.45
2010-04-14T00:00:00Z,2.19
2010-04-15T00:00:00Z,2.19
2010-04-16T00:00:00Z,2.06
2010-04-17T00:00:00Z,1.94
2010-04-18T00:00:00Z,1.94
2010-04-19T00:00:00Z,1.82
2010-04-20T00:00:00Z,1.82
2010-04-21T00:00:00Z,1.82
2010-04-22T00:00:00Z,1.7
2010-04-23T00:00:00Z,1.58
2010-04-24T00:00:00Z,1.48
2010-04-25T00:00:00Z,1.39
2010-04-26T00:00:00Z,1.39
2010-04-27T00:00:00Z,1.39
2010-04-28T00:00:00Z,1.39
2010-04-29T00:00:00Z,1.21
2010-04-30T00:00:00Z,1.21
2010-05-01T00:00:00Z,1.3
2010-05-02T00:00:00Z,1.39
2010-05-03T00:00:00Z,1.39
2010-05-04T00:00:00Z,1.21
2010-05-05T00:00:00Z,1.21
2010-05-06T00:00:00Z,1.3
2010-05-07T00:00:00Z,1.3
2010-05-08T00:00:00Z,1.21
2010-05-09T00:00:00Z,1.39
2010-05-10T00:00:00Z,1.3
2010-05-11T00:00:00Z,1.21
2010-05-12T00:00:00Z,1.7
2010-05-13T00:00:00Z,1.3
2010-05-14T00:00:00Z,1.21
2010-05-15T00:00:00Z,1.3
2010-05-16T00:00:00Z,1.21
2010-05-17T00:00:00Z,1.21
2010-05-18T00:00:00Z,1.21
2010-05-19T00:00:00Z,1.39
2010-05-20T00:00:00Z,1.39
2010-05-21T00:00:00Z,1.3
2010-05-22T00:00:00Z,1.21
2010-05-23T00:00:00Z,1.21
